,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Antonio Brown (TB),101,163,1533,15.2,57,27,9,0,0,0,0,14,310.3,22.2,90.2%
1,2,DeAndre Hopkins (ARI),96,174,1378,14.4,72,24,13,0,0,0,1,15,309.8,20.7,99.4%
2,3,Keenan Allen (LAC),102,159,1393,13.7,51,18,6,2,9,0,0,16,284.2,17.8,99.0%
3,4,Larry Fitzgerald (FA),109,161,1156,10.6,37,16,6,0,0,0,1,16,261.4,16.3,0.2%
4,5,Jarvis Landry (CLE),112,161,987,8.8,49,6,9,1,-7,0,2,16,260.0,16.3,76.1%
5,6,Michael Thomas (NO),104,149,1245,12.0,43,22,5,0,0,0,0,16,258.5,16.2,24.5%
6,7,Julio Jones (TEN),88,148,1444,16.4,53,23,3,1,15,0,0,16,251.9,15.7,69.4%
7,8,Adam Thielen (MIN),91,142,1276,14.0,65,20,4,1,11,0,2,16,239.8,15.0,98.1%
8,9,Tyreek Hill (KC),75,105,1183,15.8,79,15,7,17,59,0,0,15,239.2,15.9,100.0%
9,10,A.J. Green (ARI),75,143,1078,14.4,77,9,8,0,0,0,2,16,226.8,14.2,40.0%
10,11,Doug Baldwin (FA),75,116,991,13.2,54,18,8,2,-8,0,0,16,225.3,14.1,0.0%
11,12,Marvin Jones Jr. (JAC),61,107,1101,18.0,58,20,9,0,0,0,0,16,225.1,14.1,70.3%
12,13,Golden Tate (FA),92,120,1003,10.9,71,10,5,5,22,0,1,16,224.5,14.0,0.0%
13,14,Davante Adams (GB),74,117,885,12.0,55,8,10,0,0,0,0,14,222.5,15.9,100.0%
14,15,Brandin Cooks (HOU),65,114,1082,16.6,64,18,7,9,40,0,0,16,221.2,13.8,93.5%
15,16,Demaryius Thomas (FA),83,140,949,11.4,40,15,5,0,0,0,1,16,205.9,12.9,0.1%
16,17,Mike Evans (TB),71,136,1001,14.1,42,9,5,0,0,0,0,15,203.1,13.5,99.0%
17,18,Robby Anderson (CAR),63,114,941,14.9,69,17,7,3,9,0,0,16,200.0,12.5,51.7%
18,19,Stefon Diggs (BUF),64,95,849,13.3,59,14,8,8,13,0,0,14,198.2,14.2,100.0%
19,20,Alshon Jeffery (FA),57,120,789,13.8,53,8,9,0,0,0,0,16,195.9,12.2,0.0%
20,21,Devin Funchess (FA),63,111,840,13.3,44,15,8,0,0,0,0,16,195.0,12.2,0.2%
21,22,Nelson Agholor (NE),62,95,768,12.4,72,9,8,1,7,0,0,16,193.5,12.1,17.1%
22,23,JuJu Smith-Schuster (PIT),58,79,917,15.8,97,12,7,0,0,0,0,14,191.7,13.7,20.9%
23,24,Dez Bryant (FA),69,132,838,12.1,50,8,6,1,-4,0,1,16,186.5,11.7,2.6%
24,25,Cooper Kupp (LAR),62,94,869,14.0,64,12,5,0,0,0,1,15,176.9,11.8,99.9%
25,26,Jermaine Kearse (FA),65,102,810,12.5,51,9,5,0,0,0,0,16,176.0,11.0,0.0%
26,27,T.Y. Hilton (IND),57,109,966,16.9,80,14,4,0,0,0,1,16,175.6,11.0,28.4%
27,28,Kenny Stills (NO),58,105,847,14.6,61,14,6,0,0,0,2,16,174.7,10.9,0.1%
28,29,Mohamed Sanu Sr. (SF),67,96,703,10.5,25,10,5,4,10,0,0,15,174.3,11.6,0.1%
29,30,Michael Crabtree (FA),58,101,618,10.7,41,8,8,0,0,0,0,14,171.8,12.3,0.1%
30,31,Marquise Goodwin (CHI),56,105,962,17.2,83,13,2,4,44,0,0,16,168.6,10.5,0.2%
31,32,Robert Woods (LAR),56,85,781,13.9,94,12,5,2,12,0,1,12,163.3,13.6,42.8%
32,33,Jamison Crowder (NYJ),66,103,789,12.0,41,12,3,7,34,0,3,15,160.3,10.7,21.7%
33,34,Ted Ginn Jr. (FA),53,70,787,14.8,54,15,4,10,39,0,0,15,159.6,10.6,0.0%
34,35,Randall Cobb (GB),66,92,653,9.9,46,7,4,9,17,0,0,15,159.4,10.6,14.5%
35,36,Amari Cooper (DAL),48,96,680,14.2,87,9,7,1,4,0,0,14,158.4,11.3,97.9%
36,37,Rishard Matthews (FA),53,87,795,15.0,75,13,4,1,-3,0,0,14,156.2,11.2,0.0%
37,38,Mike Wallace (FA),52,92,748,14.4,66,11,4,1,4,0,0,15,151.2,10.1,0.0%
38,39,Paul Richardson Jr. (FA),44,80,703,16.0,61,13,6,0,0,0,0,16,150.3,9.4,0.0%
39,40,Marqise Lee (FA),56,96,702,12.5,45,6,3,1,17,0,0,14,147.9,10.6,0.0%
40,41,Sammy Watkins (BAL),39,70,593,15.2,67,9,8,0,0,0,0,15,146.3,9.8,9.2%
41,42,Sterling Shepard (NYG),59,84,731,12.4,77,7,2,4,4,0,0,11,144.5,13.1,40.4%
42,43,Danny Amendola (HOU),61,86,659,10.8,27,7,2,0,0,0,0,15,138.9,9.3,0.2%
43,44,DeSean Jackson (LV),50,90,668,13.4,41,10,3,3,38,0,0,14,138.6,9.9,4.1%
44,45,Tyrell Williams (FA),43,69,728,16.9,75,12,4,0,0,0,1,16,137.8,8.6,6.0%
45,46,Jordy Nelson (FA),53,88,482,9.1,58,4,6,0,0,0,0,15,137.2,9.1,0.1%
46,47,Kelvin Benjamin (FA),48,78,692,14.4,43,10,3,0,0,0,0,14,135.2,9.7,0.1%
47,48,Keelan Cole Sr. (NYJ),42,83,748,17.8,75,11,3,0,0,0,1,16,132.8,8.3,0.3%
48,49,Martavis Bryant (FA),50,84,603,12.1,51,7,3,6,22,0,0,15,132.5,8.8,0.0%
49,50,DeVante Parker (MIA),57,96,670,11.8,36,9,1,0,0,0,0,13,130.0,10.0,39.4%
50,51,Adam Humphries (WAS),61,83,631,10.3,43,5,1,1,6,0,1,16,128.7,8.0,0.3%
51,52,Kendall Wright (FA),59,91,614,10.4,22,1,1,0,0,0,0,16,126.4,7.9,0.0%
52,53,Ryan Grant (FA),45,65,573,12.7,40,10,4,0,0,0,0,16,126.3,7.9,0.0%
53,54,Brandon LaFell (FA),52,89,548,10.5,45,6,3,0,0,0,0,16,124.8,7.8,0.0%
54,55,Travis Benjamin (SF),34,65,567,16.7,62,10,4,13,96,0,0,16,124.3,7.8,0.0%
55,56,Josh Doctson (FA),35,78,502,14.3,52,6,6,1,-14,0,0,16,119.8,7.5,0.0%
56,57,Tyler Lockett (SEA),45,71,555,12.3,74,5,2,10,58,0,0,16,118.3,7.4,97.7%
57,58,Eric Decker (FA),54,83,563,10.4,29,5,1,0,0,0,0,16,116.3,7.3,0.6%
58,59,Albert Wilson (MIA),42,62,554,13.2,63,4,3,3,6,0,0,13,116.0,8.9,0.7%
59,60,Emmanuel Sanders (BUF),47,92,555,11.8,38,11,2,0,0,0,0,12,114.5,9.5,76.3%
60,61,Will Fuller V (MIA),28,50,423,15.1,59,7,7,2,9,0,0,10,113.2,11.3,29.4%
61,62,Terrance Williams (FA),53,78,568,10.7,56,6,0,2,15,0,0,16,111.3,7.0,0.0%
62,63,Chris Hogan (FA),34,59,439,12.9,47,6,5,3,17,0,0,9,109.6,12.2,0.0%
63,64,Deonte Thompson (FA),38,69,555,14.6,46,8,2,2,-5,0,0,16,105.0,6.6,0.0%
64,65,Jaron Brown (ARI),31,69,477,15.4,52,12,4,0,0,0,0,16,102.7,6.4,0.0%
65,66,Jeremy Maclin (FA),40,72,440,11.0,48,3,3,0,0,0,0,12,102.0,8.5,0.0%
66,67,Allen Hurns (MIA),39,56,484,12.4,50,4,2,0,0,0,0,10,99.4,9.9,0.0%
67,68,Trent Taylor (CIN),43,60,430,10.0,33,2,2,0,0,0,1,15,96.0,6.4,0.0%
68,69,Kenny Golladay (NYG),28,48,477,17.0,54,8,3,1,9,0,0,11,94.6,8.6,61.8%
69,70,J.J. Nelson (IND),29,61,508,17.5,46,6,2,3,37,0,1,16,93.1,5.8,0.0%
70,71,Chris Godwin (TB),34,55,525,15.4,70,4,1,0,0,0,0,16,92.5,5.8,98.8%
71,72,Cole Beasley (BUF),36,63,314,8.7,54,2,4,0,0,0,0,15,91.4,6.1,73.7%
72,73,Torrey Smith (FA),36,68,430,11.9,59,6,2,1,-3,0,0,16,90.7,5.7,0.0%
73,74,Seth Roberts (FA),43,65,455,10.6,29,6,1,0,0,0,2,15,90.5,6.0,0.0%
74,75,Pierre Garcon (FA),40,67,500,12.5,59,6,0,0,0,0,0,8,90.0,11.3,0.0%
75,76,Roger Lewis (FA),36,72,416,11.6,34,6,2,0,0,0,0,15,89.6,6.0,0.0%
76,77,Cordarrelle Patterson (ATL),31,42,309,10.0,59,3,0,13,121,2,0,16,86.0,5.4,94.0%
77,78,Bennie Fowler III (SF),29,56,350,12.1,29,5,3,0,0,0,0,16,82.0,5.1,0.0%
78,79,Taylor Gabriel (FA),33,51,378,11.5,40,4,1,8,49,0,0,16,81.7,5.1,0.1%
79,80,TJ Jones (FA),30,49,399,13.3,34,6,1,0,0,0,0,14,77.9,5.6,0.0%
80,81,Donte Moncrief (HOU),26,47,391,15.0,60,5,2,0,0,0,0,12,77.1,6.4,0.0%
81,82,Bruce Ellington (FA),29,57,330,11.4,35,6,2,3,17,0,0,11,75.7,6.9,0.0%
82,83,Odell Beckham Jr. (LAR),25,41,302,12.1,48,2,3,1,8,0,0,4,74.0,18.5,85.8%
83,84,Brandon Coleman (FA),23,37,364,15.8,54,8,3,0,0,0,2,16,73.8,4.6,0.0%
84,85,Zay Jones (LV),27,74,316,11.7,33,3,2,0,0,0,0,15,70.6,4.7,0.7%
85,86,John Brown (JAC),21,55,299,14.2,52,2,3,1,10,0,0,10,69.9,7.0,1.3%
86,87,Corey Davis (NYJ),34,65,375,11.0,37,4,0,0,0,0,1,11,69.5,6.3,73.0%
87,88,Rashard Higgins (CLE),27,50,312,11.6,56,4,2,1,4,0,1,15,68.6,4.6,0.7%
88,89,Josh Bellamy (FA),24,46,376,15.7,46,4,1,1,6,0,0,15,68.2,4.5,0.0%
89,90,Dede Westbrook (MIN),27,51,339,12.6,29,6,1,0,0,0,0,7,66.9,9.6,0.1%
90,91,Chris Moore (HOU),18,38,248,13.8,30,5,3,2,-9,0,0,13,65.9,5.1,0.1%
91,92,Corey Coleman (FA),23,58,305,13.3,44,4,2,0,0,0,0,9,65.5,7.3,0.0%
92,93,Dontrelle Inman (FA),25,44,343,13.7,26,4,1,0,0,0,0,12,65.3,5.4,0.0%
93,94,Brice Butler (FA),15,23,317,21.1,53,7,3,0,0,0,0,13,64.7,5.0,0.0%
94,95,Ricardo Louis (FA),27,61,357,13.2,37,7,0,0,0,0,0,16,62.7,3.9,0.0%
95,96,Cody Latimer (FA),19,31,287,15.1,32,6,2,0,0,0,0,11,61.7,5.6,0.0%
96,97,Tavarres King (FA),18,37,240,13.3,57,2,3,2,3,0,0,8,60.3,7.5,0.0%
