,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Davante Adams (GB),115,149,1374,11.9,56,0,18,0,0,0,1,14,358.4,25.6,100.0%
1,2,Tyreek Hill (KC),87,135,1276,14.7,75,0,15,13,123,2,0,15,328.9,21.9,100.0%
2,3,Stefon Diggs (BUF),127,166,1535,12.1,55,0,8,1,1,0,0,16,328.6,20.5,100.0%
3,4,DeAndre Hopkins (ARI),115,160,1407,12.2,60,0,6,1,1,0,2,16,287.8,18.0,99.4%
4,5,Calvin Ridley (ATL),90,143,1374,15.3,63,0,9,5,1,0,1,15,281.5,18.8,79.7%
5,6,Justin Jefferson (MIN),88,125,1400,15.9,71,0,7,1,2,0,0,16,274.2,17.1,99.8%
6,7,D.K. Metcalf (SEA),83,129,1303,15.7,62,0,10,0,0,0,1,16,271.3,17.0,99.9%
7,8,Tyler Lockett (SEA),100,132,1054,10.5,47,0,10,0,0,0,0,16,265.4,16.6,97.7%
8,9,Allen Robinson II (CHI),102,151,1250,12.3,42,0,6,1,-1,0,0,16,262.9,16.4,70.9%
9,10,Adam Thielen (MIN),74,108,925,12.5,51,0,14,3,15,0,0,15,254.0,16.9,98.1%
10,11,Mike Evans (TB),70,109,1006,14.4,50,0,13,0,0,0,0,16,248.6,15.5,99.0%
11,12,A.J. Brown (TEN),70,106,1075,15.4,73,0,11,0,0,0,1,14,247.5,17.7,99.6%
12,13,Robert Woods (LAR),90,129,936,10.4,56,0,6,24,155,2,1,16,245.1,15.3,42.8%
13,14,Keenan Allen (LAC),100,147,992,9.9,28,0,8,1,-1,0,2,14,245.1,17.5,99.0%
14,15,Amari Cooper (DAL),92,130,1114,12.1,69,0,5,6,14,0,0,16,236.8,14.8,97.9%
15,16,JuJu Smith-Schuster (PIT),97,128,831,8.6,31,0,9,0,0,0,1,16,234.1,14.6,20.9%
16,17,Brandin Cooks (HOU),81,119,1150,14.2,57,0,6,0,0,0,0,15,232.0,15.5,93.5%
17,18,Marvin Jones Jr. (JAC),76,115,978,12.9,43,0,9,0,0,0,0,16,227.8,14.2,70.3%
18,19,Robby Anderson (CAR),95,136,1096,11.5,75,0,3,4,15,0,1,16,224.2,14.0,51.7%
19,20,Terry McLaurin (WAS),87,134,1118,12.9,68,0,4,2,30,0,1,15,223.8,14.9,98.9%
20,21,Diontae Johnson (PIT),88,144,923,10.5,47,0,7,3,15,0,1,15,221.8,14.8,96.9%
